date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,127,As It Was,Harry Styles,6,145,531,"12,146",4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3
2023-09-13,128,石橋,Gummy B,14,131,200,"12,108",1GSaEKLXJMbgS25vLiC1or,041GibkKYtPdNlIAqxs1gs
2023-09-13,129,夜に駆ける,YOASOBI,38,138,1000,"12,101",6MCjmGYlw6mQVWRFVgBRvB,64tJ2EAv1R6UaZqc4iOCyj
2023-09-13,130,珊瑚海,"Jay Chou, Lara Liang",74,133,525,"12,092",4JY5s40ymnG18f6wxQtzPw,2elBjNSdBE2Y3f0j1mjrql
2023-09-13,131,Summertime Friends,The Chainsmokers,131,—,1,"12,035",7JLzv38qr5GxXYqQfuQJP9,69GGBxA162lTqCwzJG5jLp
2023-09-13,132,Someone You Loved,Lewis Capaldi,14,126,203,"11,989",7qEHsqek33rTcFNT9PFqLf,4GNC7GD6oZMSxPGyXy4MNB
2023-09-13,133,永不失聯的愛,Eric Chou,78,127,144,"11,981",46fURCnWErjFdNM2yBJ2c8,5fEQLwq1BWWQNR8GzhOIvi
2023-09-13,134,Steal The Show,Lauv,63,162,68,"11,976",6R5fYCySNHrqo4Og6O1ppn,5JZ7CnR6gTvEMKX4g70Amv
2023-09-13,135,Why You Gonna Lie,高爾宣 OSN,3,140,9,"11,956",1rjUBUTswCkN8DIBxkgjJs,4TcOznbEZBqev21LzAH4KE
2023-09-13,136,Super,SEVENTEEN,2,123,143,"11,888",3AOf6YEpxQ894FmrwI9k96,7nqOGRxlXj7N2JYbgNEjYH
2023-09-13,137,Lemon,Kenshi Yonezu,15,142,1718,"11,885",04TshWXkhV1qkqHzf31Hn6,1snhtMLeb2DYoMOcVbb8iB
2023-09-13,138,Attention,NewJeans,11,128,409,"11,829",2pIUpMhHL6L9Z5lnKxJJr9,6HvZYsbFfjnjFrWF950C9d
2023-09-13,139,On My Way《地獄里長》主題曲,"Sophie Chen, 高爾宣 OSN",20,149,99,"11,822",5z7v55W0mQtMj8nrCLAAAc,2DIegoHjgAlIc6HYGGbu4h
2023-09-13,140,再見煙火,卓義峯,56,135,4,"11,808",2urzYCyon3tncXk26kpMYo,0GVoNfTDWNN9TUXc4mx1FX
2023-09-13,141,Kitsch,IVE,2,129,171,"11,805",7foeH2Emgq8A3LWk3q6dat,6RHTUrRF63xao58xh9FXYJ
2023-09-13,142,勇气,棉子,16,158,1074,"11,770",5rY7xc2h5Imj6iFn97h8Qj,6Y4Ur76H9vh8gw4QADaUKp
2023-09-13,143,ANTIFRAGILE,LE SSERAFIM,5,136,332,"11,768",0bMoNdAnxNR0OuQbGDovrr,4SpbR6yFEvexJuaBpgAU5p
2023-09-13,144,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",4,141,84,"11,767",0RiRZpuVRbi7oqRdSMwhQY,246dkjvS1zLTtiykXe5h60
2023-09-13,145,墮落 (feat. Buddha Jump 佛跳牆),"Naiwen Yang, Buddha Jump",117,122,16,"11,640",1hT86g2KE4982nzi9NfrrO,2Vl4kZKeQslEl4P0ATWuue
2023-09-13,146,我走后 - 发行版,小咪,119,146,58,"11,593",32UZM0QSWwqzLbyr1YoS7x,1EnZU1clkEHET416Er1WO2
2023-09-13,147,你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲,Eric Chou,8,147,142,"11,571",2gug6MRv4xQFYi9LA3PJCS,5fEQLwq1BWWQNR8GzhOIvi
2023-09-13,148,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,56,150,112,"11,546",4QhnNyKDsAkXPwHkSnuc89,4SpbR6yFEvexJuaBpgAU5p
2023-09-13,149,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu,4,130,262,"11,546",1ZSleGniKMWNrWvK5cGALO,75CM5fojYdKYD0xYSFh22Z
2023-09-13,150,群青,YOASOBI,62,151,320,"11,498",1zd35Y44Blc1CwwVbW3Qnk,64tJ2EAv1R6UaZqc4iOCyj
2023-09-13,151,Used To Be Young,Miley Cyrus,42,119,20,"11,466",41WQUSINanQHfhfKpFDsms,5YGY8feqx7naU7z4HrwZM6
2023-09-13,152,Spicy,aespa,14,143,129,"11,445",1ULdASrNy5rurl1TZfFaMP,6YVMFz59CuY7ngCxTxjpxE
2023-09-13,153,床,No Party For Cao Dong,2,144,160,"11,430",7iNnvOWQSTQPLn5WPu0gdU,3HXSUfI76zVZk71UMAeVfp
2023-09-13,154,安静的稻草人,Daven Wu,84,153,111,"11,328",3LEhWXtzVIBFORQZYPXqNj,1ozUFRkT8GzwGMFKm80fs8
2023-09-13,155,"起風了 (電視劇《加油, 你是最棒的》主題曲)",吳青峰,31,148,964,"11,282",5ZiMscIUd9Gozq4JFPnlJQ,5a5vu4RzsAHdKN0aYyblZ8
2023-09-13,156,無人知曉,Hebe Tien,2,155,3,"11,170",5R3KGS53DCrlbi6cxECAEH,14bJhryXGk6H6qlGzwj3W5
2023-09-13,157,終究還是因為愛,TRASH,11,157,720,"11,013",53yiHIP3ptxWtT4ambRcgb,3KZMUYrA5eIfgZdIFRmNe4
